company_id,year,metric_code,value,unit_code
1000,2024,158,704.0,40
1000,2024,167,51.15,42
1001,2024,376,503.0,4
1004,2021,313,716.0,2
1004,2022,313,131.0,2
1004,2023,313,881.0,2
1004,2024,313,384.0,2
1006,2020,377,82.52,11
1006,2021,377,81.11,11
1006,2022,377,91.22,11
1006,2023,377,57.02,11
1006,2024,377,37.25,11
1007,2020,159,176.0,40
1007,2021,159,987.0,40
1007,2022,159,825.0,40
1007,2023,159,675.0,40
1007,2024,159,436.0,40
1008,2024,158,670.0,40
1012,2021,537,1.0,37
1012,2022,537,5.0,37
1012,2023,537,8.0,37
1012,2024,537,3.0,37
1015,2020,158,64.0,40
1015,2021,158,820.0,40
1015,2022,158,542.0,40
1015,2023,158,41.0,40
1015,2024,158,104.0,40
1015,2024,582,480.0,2
1018,2020,167,23.79,42
1018,2021,167,34.32,42
1018,2022,167,56.53,42
1018,2023,167,8.42,42
1018,2024,167,10.93,42
1020,2024,376,129.0,4
1021,2020,376,686.0,4
1021,2021,376,691.0,4
1021,2022,376,587.0,4
1021,2023,376,921.0,4
1021,2024,376,693.0,4
1022,2020,376,202.0,4
1022,2021,376,369.0,4
1022,2022,376,337.0,4
1022,2023,376,452.0,4
1022,2024,376,603.0,4
1026,2024,376,418.0,4
1027,2024,376,78.0,4
1028,2021,158,991.0,40
1028,2022,158,595.0,40
1028,2023,158,489.0,40
1028,2024,158,758.0,40
1030,2022,377,75.43,11
1030,2023,377,65.13,11
1030,2024,377,40.7,11
1030,2022,537,1.0,37
1030,2023,537,2.0,37
1030,2024,537,2.0,37
1033,2023,537,8.0,37
1033,2024,537,9.0,37
1034,2020,159,84.0,40
1034,2021,159,395.0,40
1034,2022,159,23.0,40
1034,2023,159,291.0,40
1034,2024,159,510.0,40
1037,2022,582,887.0,2
1037,2023,582,210.0,2
1037,2024,582,690.0,2
1043,2022,376,270.0,4
1043,2023,376,881.0,4
1043,2024,376,557.0,4
1044,2021,167,51.9,42
1044,2022,167,78.52,42
1044,2023,167,80.73,42
1044,2024,167,70.12,42
1044,2020,537,6.0,37
1044,2021,537,3.0,37
1044,2022,537,6.0,37
1044,2023,537,9.0,37
1044,2024,537,7.0,37
1045,2023,439,510.0,80
1045,2024,439,602.0,80
1048,2024,313,964.0,2
1049,2024,582,914.0,2
1051,2022,167,60.26,42
1051,2023,167,84.15,42
1051,2024,167,64.93,42
1053,2024,158,830.0,40
1054,2023,158,133.0,40
