company_id,year,metric_code,value,unit_code
1000,2023,89,348,4
1000,2024,89,661,4
1000,2021,96,39.9,26
1000,2022,96,99.76,26
1000,2023,96,12.21,26
1000,2024,96,72.41,26
1000,2021,139,339,14
1000,2022,139,917,14
1000,2023,139,338,14
1000,2024,139,869,14
1000,2020,141,320,14
1000,2021,141,508,14
1000,2022,141,992,14
1000,2023,141,349,14
1000,2024,141,777,14
1000,2023,264,965,9
1000,2024,264,989,9
1000,2020,435,551,14
1000,2021,435,856,14
1000,2022,435,743,14
1000,2023,435,452,14
1000,2024,435,505,14
1000,2020,441,560,82
1000,2021,441,564,82
1000,2022,441,373,82
1000,2023,441,649,82
1000,2024,441,386,82
1000,2024,518,17.78,6
1001,2023,20,240,9
1001,2024,20,414,9
1001,2021,164,799,14
1001,2022,164,20,14
1001,2023,164,794,14
1001,2024,164,734,14
1001,2022,433,25.09,77
1001,2023,433,92.16,77
1001,2024,433,41.04,77
1001,2023,565,21.92,3
1001,2024,565,55.38,3
1002,2022,20,500,9
1002,2023,20,427,9
1002,2024,20,10,9
1002,2023,234,84.36,36
1002,2024,234,79.41,36
1002,2024,267,12.12,6
1002,2023,434,741,78
1002,2024,434,846,78
1002,2020,533,619,9
1002,2021,533,84,9
1002,2022,533,473,9
1002,2023,533,705,9
1002,2024,533,359,9
1003,2023,96,71.15,26
1003,2024,96,49.62,26
1003,2024,441,510,82
1003,2024,442,789,9
1003,2020,570,345,4
1003,2021,570,71,4
1003,2022,570,346,4
1003,2023,570,874,4
1003,2024,570,607,4
1004,2022,254,83.38,6
1004,2023,254,52.19,6
1004,2024,254,72.1,6
1005,2022,12,51.5,6
1005,2023,12,95.6,6
1005,2024,12,32.75,6
1005,2020,250,53.64,6
1005,2021,250,62.11,6
1005,2022,250,59.14,6
1005,2023,250,93.46,6
1005,2024,250,56.32,6
1006,2022,12,76.95,6
1006,2023,12,84.37,6
1006,2024,12,90.75,6
1006,2020,141,834,14
1006,2021,141,557,14
1006,2022,141,917,14
1006,2023,141,773,14
1006,2024,141,852,14
1006,2022,182,753,14
1006,2023,182,239,14
1006,2024,182,653,14
1006,2020,235,150,9
1006,2021,235,924,9
1006,2022,235,31,9
1006,2023,235,938,9
1006,2024,235,86,9
1006,2022,250,13.44,6
1006,2023,250,84.2,6
1006,2024,250,26.55,6
1007,2022,20,901,9
1007,2023,20,620,9
1007,2024,20,853,9
1007,2024,144,841,4
1007,2024,152,129,38
1007,2021,153,363,9
1007,2022,153,458,9
1007,2023,153,223,9
1007,2024,153,321,9
1007,2023,254,61.6,6
1007,2024,254,74.98,6
1008,2020,94,447,14
1008,2021,94,702,14
1008,2022,94,813,14
1008,2023,94,532,14
1008,2024,94,792,14
1008,2024,141,597,14
1009,2021,116,65.02,1
1009,2022,116,96.17,1
1009,2023,116,98.93,1
1009,2024,116,60.33,1
1009,2021,570,661,4
1009,2022,570,909,4
1009,2023,570,433,4
1009,2024,570,498,4
1010,2023,135,71.46,36
1010,2024,135,67.98,36
1010,2023,139,291,14
1010,2024,139,932,14
