company_id,year,metric_code,value,unit_code
1000,2024,85,16.95,3
1000,2022,305,34.2,8
1000,2023,305,67.75,8
1000,2024,305,56.04,8
1001,2023,534,531,2
1001,2024,534,921,2
1002,2024,25,40.24,11
1002,2022,86,96.2,8
1002,2023,86,29.34,8
1002,2024,86,31.39,8
1002,2023,210,5.28,8
1002,2024,210,2.69,8
1002,2022,269,25.92,11
1002,2023,269,87.44,11
1002,2024,269,70.74,11
1002,2023,304,44.35,3
1002,2024,304,35.42,3
1003,2020,25,49.27,11
1003,2021,25,46.73,11
1003,2022,25,75.26,11
1003,2023,25,11.46,11
1003,2024,25,42.27,11
1003,2024,458,64.24,11
1003,2022,472,15.88,12
1003,2023,472,92.78,12
1003,2024,472,40.2,12
1003,2023,473,35.43,8
1003,2024,473,2.05,8
1003,2023,519,86.57,3
1003,2024,519,85.67,3
1004,2020,18,691,2
1004,2021,18,397,2
1004,2022,18,38,2
1004,2023,18,203,2
1004,2024,18,896,2
1004,2020,390,90.96,3
1004,2021,390,63.68,3
1004,2022,390,35.29,3
1004,2023,390,28.59,3
1004,2024,390,93.39,3
1005,2023,25,76.12,11
1005,2024,25,80.19,11
1005,2021,304,56.25,3
1005,2022,304,89.76,3
1005,2023,304,8.3,3
1005,2024,304,78.05,3
1006,2022,368,96.75,11
1006,2023,368,96.35,11
1006,2024,368,49.27,11
1007,2024,245,707,4
1008,2022,269,80.31,11
1008,2023,269,55.03,11
1008,2024,269,48.19,11
1008,2021,380,10.69,3
1008,2022,380,49.83,3
1008,2023,380,46.24,3
1008,2024,380,40.42,3
1008,2023,457,65.25,11
1008,2024,457,31.43,11
1008,2023,466,8.44,11
1008,2024,466,81.68,11
1009,2020,375,74.07,3
1009,2021,375,91.79,3
1009,2022,375,3.72,3
1009,2023,375,68.05,3
1009,2024,375,54.85,3
1009,2021,458,93.29,11
1009,2022,458,19.38,11
1009,2023,458,53.66,11
1009,2024,458,31.19,11
1009,2024,466,82.93,11
1010,2022,99,68.63,28
1010,2023,99,23.32,28
1010,2024,99,67.09,28
1010,2020,269,63.34,11
1010,2021,269,85.14,11
1010,2022,269,69.31,11
1010,2023,269,18.35,11
1010,2024,269,17.44,11
1010,2021,390,4.8,3
1010,2022,390,27.57,3
1010,2023,390,20.57,3
1010,2024,390,72.43,3
1010,2022,466,88.4,11
1010,2023,466,58.41,11
1010,2024,466,31.12,11
1011,2024,466,33.57,11
