company_id,year,metric_code,value,unit_code
1000,2020,8,359,4
1000,2021,8,155,4
1000,2022,8,225,4
1000,2023,8,857,4
1000,2024,8,100,4
1000,2020,13,575,7
1000,2021,13,414,7
1000,2022,13,543,7
1000,2023,13,720,7
1000,2024,13,464,7
1000,2021,36,92.38,5
1000,2022,36,1.65,5
1000,2023,36,61.04,5
1000,2024,36,60.4,5
1000,2022,47,82.76,11
1000,2023,47,16.77,11
1000,2024,47,17.93,11
1000,2020,101,438,29
1000,2021,101,229,29
1000,2022,101,502,29
1000,2023,101,114,29
1000,2024,101,490,29
1000,2023,122,39.71,11
1000,2024,122,24.28,11
1000,2024,125,670,33
1000,2020,226,16.98,3
1000,2021,226,25.03,3
1000,2022,226,44.35,3
1000,2023,226,98.58,3
1000,2024,226,0.2,3
1000,2020,278,112,57
1000,2021,278,654,57
1000,2022,278,869,57
1000,2023,278,203,57
1000,2024,278,474,57
1000,2020,312,493,14
1000,2021,312,212,14
1000,2022,312,626,14
1000,2023,312,719,14
1000,2024,312,168,14
1000,2024,348,231,2
1000,2021,401,14.56,74
1000,2022,401,7.38,74
1000,2023,401,84.26,74
1000,2024,401,10.24,74
1000,2021,431,56.65,3
1000,2022,431,32.59,3
1000,2023,431,70.9,3
1000,2024,431,15.71,3
1000,2024,521,64.08,94
1000,2022,558,105,4
1000,2023,558,378,4
1000,2024,558,787,4
1000,2022,584,70.77,102
1000,2023,584,67.36,102
1000,2024,584,82.01,102
1001,2021,41,85.75,3
1001,2022,41,17.16,3
1001,2023,41,58.38,3
1001,2024,41,69.45,3
1001,2021,49,10.02,5
1001,2022,49,86.95,5
1001,2023,49,52.61,5
1001,2024,49,95.04,5
1001,2023,110,264,4
1001,2024,110,149,4
1001,2020,186,25.77,6
1001,2021,186,24.83,6
1001,2022,186,92.93,6
1001,2023,186,24.61,6
1001,2024,186,28.76,6
1001,2022,194,441,4
1001,2023,194,805,4
1001,2024,194,506,4
1001,2021,199,20.99,3
1001,2022,199,74.53,3
1001,2023,199,84.38,3
1001,2024,199,52.71,3
1001,2022,215,98.17,3
1001,2023,215,57.15,3
1001,2024,215,33.26,3
1001,2020,225,46.76,3
1001,2021,225,16.26,3
1001,2022,225,26.23,3
1001,2023,225,22.68,3
1001,2024,225,31.27,3
1001,2020,232,670,2
1001,2021,232,724,2
1001,2022,232,464,2
1001,2023,232,293,2
1001,2024,232,62,2
1001,2021,239,23.94,11
1001,2022,239,57.04,11
1001,2023,239,34.69,11
1001,2024,239,13.72,11
1001,2023,241,98.2,8
1001,2024,241,7.28,8
1001,2021,242,32.81,11
1001,2022,242,15.29,11
1001,2023,242,2.36,11
1001,2024,242,35.19,11
1001,2021,311,92,65
1001,2022,311,549,65
1001,2023,311,685,65
1001,2024,311,482,65
1001,2020,320,509,4
1001,2021,320,594,4
1001,2022,320,642,4
1001,2023,320,225,4
1001,2024,320,589,4
1001,2022,346,14.31,11
1001,2023,346,42.47,11
1001,2024,346,31.82,11
1001,2023,432,333,2
1001,2024,432,865,2
1001,2024,461,6.46,5
1001,2024,465,569,86
1001,2021,526,4.86,5
1001,2022,526,40.36,5
1001,2023,526,39.06,5
1001,2024,526,9.89,5
1001,2023,547,259,13
1001,2024,547,97,13
1002,2024,1,19.09,1
1002,2024,9,587,4
1002,2020,46,183,18
1002,2021,46,346,18
1002,2022,46,450,18
1002,2023,46,705,18
1002,2024,46,815,18
1002,2021,54,4,20
1002,2022,54,462,20
1002,2023,54,691,20
1002,2024,54,463,20
1002,2020,106,59.53,3
1002,2021,106,27.49,3
1002,2022,106,55.62,3
1002,2023,106,79.72,3
1002,2024,106,90.76,3
1002,2021,119,310,23
1002,2022,119,943,23
1002,2023,119,756,23
1002,2024,119,847,23
1002,2022,150,3,37
1002,2023,150,9,37
1002,2024,150,1,37
1002,2021,180,3.22,8
1002,2022,180,83.78,8
1002,2023,180,49.65,8
1002,2024,180,44.33,8
1002,2024,201,63.73,11
1002,2022,204,243,4
1002,2023,204,278,4
1002,2024,204,918,4
1002,2021,206,78,51
1002,2022,206,461,51
1002,2023,206,509,51
1002,2024,206,549,51
1002,2024,239,77.55,11
1002,2023,243,83.94,52
1002,2024,243,30.46,52
1002,2023,255,835,4
1002,2024,255,46,4
1002,2024,290,383,2
1002,2024,301,829,4
1002,2020,348,975,2
1002,2021,348,65,2
1002,2022,348,254,2
1002,2023,348,257,2
1002,2024,348,766,2
1002,2020,389,195,14
1002,2021,389,733,14
1002,2022,389,637,14
1002,2023,389,867,14
1002,2024,389,486,14
1002,2024,416,566,75
1002,2022,432,910,2
1002,2023,432,873,2
1002,2024,432,487,2
1002,2020,437,48.59,3
1002,2021,437,7.75,3
1002,2022,437,82.03,3
1002,2023,437,1.08,3
1002,2024,437,73.3,3
1002,2023,460,41.45,85
1002,2024,460,59.05,85
1002,2021,470,657,87
1002,2022,470,429,87
1002,2023,470,282,87
1002,2024,470,51,87
1002,2023,489,94,4
1002,2024,489,994,4
1002,2020,490,852,4
1002,2021,490,540,4
1002,2022,490,440,4
1002,2023,490,990,4
1002,2024,490,31,4
1002,2023,521,84.27,94
1002,2024,521,93.95,94
1003,2024,49,71.52,5
1003,2020,106,64.41,3
1003,2021,106,70.75,3
1003,2022,106,42.93,3
1003,2023,106,43.31,3
1003,2024,106,99.67,3
1003,2023,145,51.91,3
1003,2024,145,25.55,3
1003,2024,155,8,38
1003,2022,185,21.9,6
1003,2023,185,89.15,6
1003,2024,185,8.33,6
1003,2021,194,280,4
1003,2022,194,731,4
1003,2023,194,601,4
1003,2024,194,418,4
1003,2023,202,717,4
1003,2024,202,180,4
1003,2021,240,521,2
1003,2022,240,957,2
1003,2023,240,294,2
1003,2024,240,967,2
1003,2023,270,40.83,8
1003,2024,270,82.62,8
1003,2020,276,844,56
1003,2021,276,727,56
1003,2022,276,119,56
1003,2023,276,678,56
1003,2024,276,769,56
1003,2023,289,43.27,11
1003,2024,289,4.69,11
1003,2020,307,422,4
1003,2021,307,239,4
1003,2022,307,769,4
1003,2023,307,144,4
1003,2024,307,398,4
1003,2020,330,729,4
1003,2021,330,269,4
1003,2022,330,289,4
1003,2023,330,97,4
1003,2024,330,217,4
1003,2022,335,792,2
1003,2023,335,617,2
1003,2024,335,259,2
1003,2022,350,89.67,8
1003,2023,350,17.87,8
1003,2024,350,98.73,8
1003,2023,355,513,40
1003,2024,355,581,40
1003,2022,366,456,14
1003,2023,366,244,14
1003,2024,366,751,14
1003,2021,397,91.34,3
1003,2022,397,71.54,3
1003,2023,397,82.19,3
1003,2024,397,76.67,3
1003,2022,423,514,40
1003,2023,423,224,40
1003,2024,423,968,40
1003,2021,444,49.46,3
1003,2022,444,82.9,3
1003,2023,444,76.39,3
1003,2024,444,37.21,3
1003,2024,527,715,18
1004,2021,9,145,4
1004,2022,9,301,4
1004,2023,9,479,4
1004,2024,9,884,4
1004,2022,29,54.14,12
1004,2023,29,38.11,12
1004,2024,29,87.19,12
1004,2021,67,768,4
1004,2022,67,621,4
1004,2023,67,277,4
1004,2024,67,173,4
1004,2023,108,537,4
1004,2024,108,765,4
1004,2022,122,73.44,11
1004,2023,122,46.29,11
1004,2024,122,87.88,11
1004,2022,132,324,4
1004,2023,132,87,4
1004,2024,132,938,4
1004,2023,134,654,23
1004,2024,134,305,23
1004,2023,140,924,14
1004,2024,140,149,14
1004,2021,197,43.15,49
1004,2022,197,66.5,49
1004,2023,197,6.09,49
1004,2024,197,91.13,49
1004,2023,231,505,2
1004,2024,231,560,2
1004,2023,243,5.86,52
1004,2024,243,45.96,52
1004,2021,285,6.26,46
1004,2022,285,53.97,46
1004,2023,285,28.42,46
1004,2024,285,11.16,46
1004,2023,297,97.37,3
1004,2024,297,34.15,3
1004,2023,366,483,14
1004,2024,366,311,14
1004,2020,371,868,4
1004,2021,371,365,4
1004,2022,371,925,4
1004,2023,371,644,4
1004,2024,371,5,4
1004,2021,378,90.57,3
1004,2022,378,48.99,3
1004,2023,378,31.45,3
1004,2024,378,62.29,3
1004,2024,418,994,40
1004,2022,483,69.56,46
1004,2023,483,50.59,46
1004,2024,483,38.93,46
1004,2022,486,848,90
1004,2023,486,33,90
1004,2024,486,148,90
1004,2024,499,362,2
1005,2023,15,436,4
1005,2024,15,962,4
1005,2022,42,39.27,16
1005,2023,42,66.71,16
1005,2024,42,36.82,16
1005,2024,74,949,2
1005,2022,82,932,4
1005,2023,82,416,4
1005,2024,82,970,4
1005,2022,174,356,4
1005,2023,174,739,4
1005,2024,174,691,4
1005,2020,187,527,14
1005,2021,187,87,14
1005,2022,187,480,14
1005,2023,187,307,14
1005,2024,187,233,14
1005,2023,212,91.87,8
1005,2024,212,22.93,8
1005,2024,241,64.47,8
1005,2022,294,86.91,63
1005,2023,294,58.01,63
1005,2024,294,59.43,63
1005,2021,308,275,4
1005,2022,308,665,4
1005,2023,308,490,4
1005,2024,308,959,4
1005,2023,320,160,4
1005,2024,320,981,4
1005,2021,354,263,2
1005,2022,354,983,2
1005,2023,354,440,2
1005,2024,354,156,2
1005,2024,366,205,14
1005,2024,397,15.1,3
1005,2023,424,12.43,44
1005,2024,424,81.69,44
1005,2024,447,950,4
1005,2020,486,415,90
1005,2021,486,106,90
1005,2022,486,5,90
1005,2023,486,44,90
1005,2024,486,832,90
1005,2023,547,108,13
1005,2024,547,312,13
1006,2023,8,803,4
1006,2024,8,190,4
1006,2020,49,10.81,5
1006,2021,49,68.18,5
1006,2022,49,79.18,5
1006,2023,49,26.64,5
1006,2024,49,27.51,5
1006,2024,119,683,23
1006,2021,121,492,24
1006,2022,121,765,24
1006,2023,121,777,24
1006,2024,121,572,24
1006,2020,150,1,37
1006,2021,150,1,37
1006,2022,150,5,37
1006,2023,150,1,37
1006,2024,150,7,37
1006,2020,199,64.88,3
1006,2021,199,57.6,3
1006,2022,199,43.59,3
1006,2023,199,75.28,3
1006,2024,199,88.11,3
1006,2022,215,91.84,3
1006,2023,215,23.24,3
1006,2024,215,95.84,3
1006,2021,232,124,2
1006,2022,232,126,2
1006,2023,232,545,2
1006,2024,232,737,2
1006,2021,237,70.26,6
1006,2022,237,11.75,6
1006,2023,237,23.92,6
1006,2024,237,76.1,6
1006,2023,239,88.13,11
1006,2024,239,32.18,11
1006,2021,240,368,2
1006,2022,240,393,2
1006,2023,240,430,2
1006,2024,240,42,2
1006,2023,278,309,57
1006,2024,278,837,57
1006,2023,301,769,4
1006,2024,301,265,4
1006,2022,329,347,4
1006,2023,329,344,4
1006,2024,329,658,4
1006,2021,355,124,40
1006,2022,355,572,40
1006,2023,355,716,40
1006,2024,355,262,40
1006,2024,367,918,14
1006,2022,379,72.21,11
1006,2023,379,45.88,11
1006,2024,379,37.12,11
1006,2021,416,140,75
1006,2022,416,911,75
1006,2023,416,537,75
1006,2024,416,620,75
1006,2022,460,99.95,85
1006,2023,460,47.82,85
1006,2024,460,35.64,85
1006,2024,494,700,4
1006,2022,514,952,4
1006,2023,514,445,4
1006,2024,514,176,4
1006,2021,521,40.51,94
1006,2022,521,65.27,94
1006,2023,521,69.78,94
1006,2024,521,18.96,94
1006,2022,555,26.15,5
1006,2023,555,90.99,5
1006,2024,555,52.91,5
1007,2021,51,3,19
1007,2022,51,2,19
1007,2023,51,5,19
1007,2024,51,3,19
1007,2021,55,90.81,11
1007,2022,55,5.46,11
1007,2023,55,17.96,11
1007,2024,55,39.79,11
1007,2023,97,96.84,27
1007,2024,97,70.47,27
1007,2021,101,437,29
1007,2022,101,67,29
1007,2023,101,192,29
1007,2024,101,90,29
1007,2022,106,6.79,3
1007,2023,106,79.89,3
1007,2024,106,29.47,3
1007,2021,129,45.35,35
1007,2022,129,96.97,35
1007,2023,129,40.48,35
1007,2024,129,33.67,35
1007,2021,145,88.53,3
1007,2022,145,64.78,3
1007,2023,145,48.74,3
1007,2024,145,24.19,3
1007,2021,179,57.04,45
1007,2022,179,74.49,45
1007,2023,179,91.06,45
1007,2024,179,18.45,45
1007,2022,229,20.95,3
1007,2023,229,8.48,3
1007,2024,229,16.24,3
1007,2021,289,20.39,11
1007,2022,289,60.82,11
1007,2023,289,96.89,11
1007,2024,289,81.24,11
1007,2024,312,630,14
1007,2022,336,245,2
1007,2023,336,952,2
1007,2024,336,849,2
1007,2021,387,2.0,6
1007,2022,387,92.24,6
1007,2023,387,53.08,6
1007,2024,387,11.55,6
1007,2020,419,591,40
1007,2021,419,748,40
1007,2022,419,382,40
1007,2023,419,133,40
1007,2024,419,793,40
1007,2022,447,165,4
1007,2023,447,58,4
1007,2024,447,516,4
1007,2022,455,184,84
1007,2023,455,422,84
1007,2024,455,925,84
1007,2024,460,86.69,85
1007,2022,469,513,4
1007,2023,469,567,4
1007,2024,469,110,4
1007,2020,513,888,23
1007,2021,513,452,23
1007,2022,513,866,23
1007,2023,513,228,23
1007,2024,513,725,23
1007,2022,516,90.43,92
1007,2023,516,32.18,92
1007,2024,516,75.15,92
1007,2024,549,487,4
1008,2024,7,589,4
1008,2024,17,855,4
1008,2022,32,749,14
1008,2023,32,201,14
1008,2024,32,873,14
1008,2022,74,670,2
1008,2023,74,79,2
1008,2024,74,64,2
1008,2021,111,114,4
1008,2022,111,822,4
1008,2023,111,201,4
1008,2024,111,572,4
1008,2022,113,42.71,11
1008,2023,113,61.91,11
1008,2024,113,41.61,11
1008,2023,140,516,14
1008,2024,140,334,14
1008,2021,160,19,4
1008,2022,160,730,4
1008,2023,160,681,4
1008,2024,160,576,4
1008,2024,174,272,4
1008,2021,209,484,4
1008,2022,209,724,4
1008,2023,209,567,4
1008,2024,209,555,4
1008,2022,239,24.35,11
1008,2023,239,29.29,11
1008,2024,239,49.78,11
1008,2024,259,59,4
1008,2021,275,612,15
1008,2022,275,887,15
1008,2023,275,437,15
1008,2024,275,593,15
1008,2024,285,12.31,46
1008,2020,348,766,2
1008,2021,348,180,2
1008,2022,348,425,2
1008,2023,348,322,2
1008,2024,348,696,2
1008,2021,367,69,14
1008,2022,367,480,14
1008,2023,367,580,14
1008,2024,367,51,14
1008,2020,392,41.76,46
1008,2021,392,36.07,46
1008,2022,392,1.39,46
1008,2023,392,30.51,46
1008,2024,392,72.54,46
1008,2022,416,151,75
1008,2023,416,412,75
1008,2024,416,809,75
1008,2021,429,385,2
1008,2022,429,28,2
1008,2023,429,43,2
1008,2024,429,60,2
1008,2024,465,223,86
1008,2020,484,130,14
1008,2021,484,299,14
1008,2022,484,175,14
