company_id,year,metric_code,value,unit_code
1000,2024,502,491.0,4
1001,2020,30,63.46,11
1001,2021,30,82.35,11
1001,2022,30,6.36,11
1001,2023,30,78.22,11
1001,2024,30,20.5,11
1001,2020,299,67.01,3
1001,2021,299,33.48,3
1001,2022,299,42.05,3
1001,2023,299,68.73,3
1001,2024,299,15.16,3
1003,2021,30,61.51,11
1003,2022,30,11.69,11
1003,2023,30,57.76,11
1003,2024,30,18.34,11
1004,2023,30,48.24,11
1004,2024,30,38.87,11
1004,2024,502,15.0,4
1005,2023,63,5.32,3
1005,2024,63,33.04,3
1005,2023,203,502.0,4
1005,2024,203,689.0,4
1006,2024,552,88.18,11
1007,2023,114,40.94,3
1007,2024,114,37.74,3
1008,2023,30,89.83,11
1008,2024,30,81.19,11
1008,2024,502,502.0,4
1009,2021,114,33.78,3
1009,2022,114,68.43,3
1009,2023,114,93.07,3
1009,2024,114,21.0,3
1009,2020,299,28.15,3
1009,2021,299,3.03,3
1009,2022,299,37.44,3
1009,2023,299,5.24,3
1009,2024,299,93.78,3
1009,2021,501,239.0,23
1009,2022,501,456.0,23
1009,2023,501,841.0,23
1009,2024,501,455.0,23
1010,2023,300,3.36,11
1010,2024,300,2.41,11
1012,2023,30,9.82,11
1012,2024,30,37.25,11
1014,2022,65,18.16,11
1014,2023,65,43.08,11
1014,2024,65,80.74,11
1014,2021,203,126.0,4
1014,2022,203,361.0,4
1014,2023,203,172.0,4
1014,2024,203,528.0,4
1015,2022,203,365.0,4
1015,2023,203,926.0,4
1015,2024,203,942.0,4
1016,2023,64,81.88,3
1016,2024,64,8.04,3
1016,2022,323,553.0,4
1016,2023,323,946.0,4
1016,2024,323,321.0,4
1018,2021,203,763.0,4
1018,2022,203,379.0,4
1018,2023,203,982.0,4
1018,2024,203,94.0,4
1018,2022,323,322.0,4
1018,2023,323,563.0,4
1018,2024,323,503.0,4
1019,2020,64,28.12,3
1019,2021,64,61.85,3
1019,2022,64,58.24,3
1019,2023,64,55.82,3
1019,2024,64,38.59,3
1020,2024,63,9.02,3
1020,2021,323,666.0,4
1020,2022,323,72.0,4
1020,2023,323,371.0,4
1020,2024,323,520.0,4
1020,2022,502,620.0,4
1020,2023,502,678.0,4
1020,2024,502,266.0,4
1021,2022,63,19.41,3
1021,2023,63,92.81,3
1021,2024,63,44.95,3
1021,2024,501,631.0,23
1025,2023,213,49.02,3
1025,2024,213,52.79,3
1025,2021,253,79.99,11
1025,2022,253,9.36,11
1025,2023,253,2.35,11
1025,2024,253,95.15,11
1025,2020,501,826.0,23
1025,2021,501,339.0,23
1025,2022,501,972.0,23
1025,2023,501,591.0,23
1025,2024,501,339.0,23
1026,2020,65,77.74,11
1026,2021,65,27.07,11
1026,2022,65,98.43,11
1026,2023,65,83.23,11
1026,2024,65,95.79,11
1026,2020,253,95.48,11
1026,2021,253,33.99,11
1026,2022,253,74.52,11
1026,2023,253,84.54,11
1026,2024,253,84.59,11
1027,2023,299,5.13,3
1027,2024,299,88.29,3
1028,2021,300,40.04,11
1028,2022,300,25.58,11
1028,2023,300,75.6,11
1028,2024,300,80.81,11
1029,2024,30,50.83,11
1030,2020,502,675.0,4
1030,2021,502,118.0,4
1030,2022,502,70.0,4
1030,2023,502,995.0,4
1030,2024,502,615.0,4
1031,2020,213,0.02,3
1031,2021,213,79.93,3
