company_id,year,metric_code,value,unit_code
1000,2024,28,89.92,11
1000,2021,426,18.39,11
1000,2022,426,70.07,11
1000,2023,426,45.72,11
1000,2024,426,33.14,11
1001,2021,353,30.6,3
1001,2022,353,27.8,3
1001,2023,353,82.19,3
1001,2024,353,42.59,3
1001,2020,524,8.04,11
1001,2021,524,79.52,11
1001,2022,524,79.67,11
1001,2023,524,36.87,11
1001,2024,524,7.48,11
1002,2020,221,60.04,3
1002,2021,221,67.21,3
1002,2022,221,63.76,3
1002,2023,221,62.79,3
1002,2024,221,65.24,3
1002,2021,479,989.0,4
1002,2022,479,624.0,4
1002,2023,479,356.0,4
1002,2024,479,470.0,4
1003,2023,207,297.0,4
1003,2024,207,765.0,4
1003,2024,425,86.06,44
1004,2021,195,637.0,4
1004,2022,195,486.0,4
1004,2023,195,196.0,4
1004,2024,195,277.0,4
1004,2023,251,15.76,11
1004,2024,251,52.21,11
1004,2023,479,378.0,4
1004,2024,479,277.0,4
1004,2021,563,50.4,11
1004,2022,563,44.89,11
1004,2023,563,35.92,11
1004,2024,563,32.24,11
1005,2024,50,83.01,3
1005,2021,353,14.6,3
1005,2022,353,33.73,3
1005,2023,353,32.06,3
1005,2024,353,69.97,3
1005,2023,370,64.22,11
1005,2024,370,64.22,11
1006,2024,73,50.2,3
1006,2022,149,52.92,3
1006,2023,149,46.6,3
1006,2024,149,51.47,3
1006,2020,220,35.72,11
1006,2021,220,24.76,11
1006,2022,220,19.85,11
1006,2023,220,86.51,11
1006,2024,220,25.64,11
1006,2021,427,78.79,3
1006,2022,427,12.71,3
1006,2023,427,75.81,3
1006,2024,427,88.87,3
1007,2024,73,8.08,3
1007,2020,219,46.06,3
1007,2021,219,7.62,3
1007,2022,219,75.75,3
1007,2023,219,51.51,3
1007,2024,219,46.25,3
1007,2021,220,15.97,11
1007,2022,220,83.51,11
1007,2023,220,80.54,11
1007,2024,220,95.39,11
1007,2024,353,87.34,3
1008,2020,48,405.0,4
1008,2021,48,11.0,4
1008,2022,48,935.0,4
1008,2023,48,785.0,4
1008,2024,48,173.0,4
1008,2020,364,30.16,11
1008,2021,364,11.98,11
1008,2022,364,54.01,11
1008,2023,364,67.67,11
1008,2024,364,78.66,11
1008,2022,479,768.0,4
1008,2023,479,608.0,4
1008,2024,479,485.0,4
1009,2020,10,325.0,4
1009,2021,10,659.0,4
1009,2022,10,585.0,4
1009,2023,10,995.0,4
1009,2024,10,814.0,4
1009,2023,222,50.0,3
1009,2024,222,17.99,3
1009,2020,364,14.78,11
1009,2021,364,65.87,11
1009,2022,364,85.1,11
1009,2023,364,66.76,11
1009,2024,364,83.59,11
1010,2021,71,36.3,8
1010,2022,71,16.18,8
1010,2023,71,56.25,8
1010,2024,71,44.61,8
1010,2020,370,41.79,11
1010,2021,370,23.63,11
1010,2022,370,42.61,11
1010,2023,370,28.07,11
1010,2024,370,53.2,11
1011,2023,48,736.0,4
1011,2024,48,331.0,4
1011,2024,195,599.0,4
1011,2024,219,26.86,3
1011,2024,476,66.33,3
1011,2024,479,12.0,4
1011,2021,524,18.28,11
1011,2022,524,61.91,11
1011,2023,524,70.2,11
1011,2024,524,34.19,11
1012,2023,28,90.53,11
1012,2024,28,30.81,11
1012,2023,40,16.48,11
1012,2024,40,7.1,11
1012,2021,221,75.67,3
1012,2022,221,32.61,3
1012,2023,221,15.96,3
1012,2024,221,38.8,3
1012,2022,417,46.73,8
1012,2023,417,38.27,8
1012,2024,417,86.58,8
1012,2022,477,56.67,11
1012,2023,477,30.98,11
1012,2024,477,61.83,11
1013,2024,6,74.43,3
1013,2022,10,997.0,4
1013,2023,10,186.0,4
1013,2024,10,868.0,4
1014,2022,427,64.86,3
1014,2023,427,70.08,3
1014,2024,427,62.04,3
1014,2020,471,8.0,88
1014,2021,471,8.0,88
1014,2022,471,9.0,88
1014,2023,471,9.0,88
1014,2024,471,1.0,88
1014,2024,563,43.08,11
1015,2023,28,78.02,11
1015,2024,28,94.48,11
1015,2024,168,36.95,11
1015,2021,525,52.88,44
1015,2022,525,88.33,44
1015,2023,525,84.58,44
1015,2024,525,76.39,44
1016,2021,73,82.25,3
1016,2022,73,78.56,3
1016,2023,73,73.32,3
1016,2024,73,39.65,3
1016,2022,219,51.54,3
1016,2023,219,86.46,3
1016,2024,219,24.69,3
1016,2020,417,63.87,8
1016,2021,417,12.13,8
1016,2022,417,40.57,8
1016,2023,417,54.52,8
1016,2024,417,52.96,8
1016,2020,425,67.02,44
1016,2021,425,25.21,44
1016,2022,425,0.99,44
1016,2023,425,37.74,44
1016,2024,425,55.96,44
1016,2021,471,9.0,88
1016,2022,471,2.0,88
1016,2023,471,8.0,88
1016,2024,471,9.0,88
1016,2022,480,17.04,89
1016,2023,480,88.28,89
1016,2024,480,46.73,89
1017,2021,48,679.0,4
1017,2022,48,480.0,4
1017,2023,48,953.0,4
1017,2024,48,126.0,4
1017,2022,220,16.86,11
1017,2023,220,69.22,11
1017,2024,220,92.0,11
1018,2020,48,201.0,4
1018,2021,48,816.0,4
1018,2022,48,471.0,4
1018,2023,48,559.0,4
1018,2024,48,365.0,4
1018,2021,71,89.66,8
1018,2022,71,46.69,8
1018,2023,71,64.59,8
1018,2024,71,76.66,8
1018,2023,327,5.62,11
1018,2024,327,53.34,11
1019,2021,177,5.06,3
1019,2022,177,42.42,3
1019,2023,177,73.82,3
1019,2024,177,10.08,3
1020,2021,177,38.03,3
1020,2022,177,16.59,3
1020,2023,177,3.05,3
1020,2024,177,86.73,3
1020,2021,563,89.28,11
1020,2022,563,33.12,11
1020,2023,563,30.8,11
1020,2024,563,43.94,11
1021,2023,10,579.0,4
1021,2024,10,353.0,4
1021,2020,40,16.26,11
1021,2021,40,8.66,11
1021,2022,40,4.61,11
1021,2023,40,35.99,11
1021,2024,40,9.07,11
1021,2021,73,86.33,3
1021,2022,73,58.15,3
1021,2023,73,35.59,3
1021,2024,73,5.8,3
1021,2024,168,44.88,11
1021,2023,221,36.52,3
1021,2024,221,45.84,3
1021,2023,328,97.61,44
1021,2024,328,85.66,44
1022,2023,477,32.67,11
1022,2024,477,82.3,11
1022,2022,480,95.17,89
1022,2023,480,43.44,89
1022,2024,480,15.29,89
1023,2023,73,36.91,3
1023,2024,73,78.92,3
1023,2021,402,52.54,3
1023,2022,402,29.85,3
1023,2023,402,39.43,3
1023,2024,402,99.31,3
1023,2021,427,52.4,3
1023,2022,427,10.68,3
1023,2023,427,69.32,3
1023,2024,427,77.7,3
1023,2022,476,59.09,3
1023,2023,476,31.44,3
1023,2024,476,90.43,3
1024,2020,48,539.0,4
1024,2021,48,427.0,4
1024,2022,48,329.0,4
1024,2023,48,299.0,4
1024,2024,48,758.0,4
1024,2020,221,66.65,3
1024,2021,221,14.94,3
1024,2022,221,70.29,3
1024,2023,221,53.69,3
1024,2024,221,94.01,3
1025,2022,40,83.7,11
1025,2023,40,55.77,11
1025,2024,40,76.74,11
1025,2020,219,97.91,3
1025,2021,219,27.97,3
1025,2022,219,73.59,3
1025,2023,219,11.46,3
1025,2024,219,99.18,3
1025,2020,328,29.17,44
1025,2021,328,34.96,44
1025,2022,328,7.23,44
1025,2023,328,19.17,44
1025,2024,328,75.7,44
1026,2024,6,66.5,3
1026,2021,207,872.0,4
1026,2022,207,946.0,4
1026,2023,207,41.0,4
1026,2024,207,40.0,4
1027,2020,40,36.7,11
1027,2021,40,40.05,11
1027,2022,40,75.97,11
1027,2023,40,63.28,11
1027,2024,40,51.32,11
1027,2022,251,96.13,11
1027,2023,251,16.53,11
1027,2024,251,55.7,11
1027,2024,402,70.79,3
1028,2023,402,5.21,3
1028,2024,402,30.73,3
1029,2024,71,85.97,8
1029,2020,177,84.87,3
1029,2021,177,35.9,3
1029,2022,177,82.27,3
1029,2023,177,80.87,3
1029,2024,177,38.54,3
1029,2021,251,94.46,11
1029,2022,251,43.8,11
1029,2023,251,48.97,11
1029,2024,251,1.19,11
1029,2021,471,1.0,88
1029,2022,471,1.0,88
1029,2023,471,8.0,88
1029,2024,471,3.0,88
1030,2021,427,92.28,3
1030,2022,427,43.24,3
1030,2023,427,71.06,3
1030,2024,427,96.79,3
1030,2022,525,58.39,44
1030,2023,525,42.49,44
1030,2024,525,73.62,44
1030,2022,535,25.23,3
1030,2023,535,73.64,3
1030,2024,535,41.97,3
1032,2023,220,30.1,11
1032,2024,220,77.64,11
1033,2021,73,76.21,3
1033,2022,73,59.29,3
1033,2023,73,47.26,3
1033,2024,73,89.62,3
1033,2022,149,85.4,3
1033,2023,149,64.85,3
1033,2024,149,63.94,3
1034,2023,327,76.75,11
1034,2024,327,38.74,11
1034,2022,353,36.34,3
1034,2023,353,3.19,3
1034,2024,353,35.68,3
1034,2024,370,94.31,11
1034,2021,479,807.0,4
1034,2022,479,838.0,4
1034,2023,479,330.0,4
1034,2024,479,357.0,4
1035,2020,220,11.42,11
1035,2021,220,32.09,11
1035,2022,220,54.62,11
1035,2023,220,65.87,11
1035,2024,220,24.11,11
1035,2024,471,6.0,88
1036,2023,28,6.67,11
1036,2024,28,64.42,11
1036,2021,327,84.73,11
1036,2022,327,14.4,11
1036,2023,327,43.26,11
1036,2024,327,71.95,11
1036,2022,426,21.46,11
1036,2023,426,30.42,11
1036,2024,426,92.32,11
1036,2022,476,27.78,3
1036,2023,476,72.57,3
1036,2024,476,51.84,3
1036,2020,479,729.0,4
1036,2021,479,233.0,4
1036,2022,479,198.0,4
1036,2023,479,682.0,4
1036,2024,479,864.0,4
1037,2021,327,14.36,11
1037,2022,327,3.31,11
1037,2023,327,98.58,11
1037,2024,327,82.11,11
1037,2023,453,72.59,11
1037,2024,453,2.54,11
1038,2024,28,3.31,11
1038,2021,221,9.62,3
1038,2022,221,84.66,3
1038,2023,221,44.96,3
1038,2024,221,46.24,3
1038,2023,426,42.16,11
1038,2024,426,60.53,11
1038,2024,427,42.87,3
1039,2023,149,98.44,3
1039,2024,149,63.36,3
1039,2022,417,42.4,8
1039,2023,417,2.95,8
1039,2024,417,10.51,8
1039,2024,535,58.22,3
1040,2022,525,60.07,44
1040,2023,525,13.61,44
1040,2024,525,74.25,44
1041,2022,168,16.3,11
1041,2023,168,81.61,11
1041,2024,168,96.57,11
1042,2023,222,75.84,3
1042,2024,222,38.08,3
1042,2021,370,38.94,11
1042,2022,370,14.38,11
1042,2023,370,25.62,11
1042,2024,370,61.36,11
1043,2024,40,82.55,11
1043,2020,71,0.1,8
1043,2021,71,16.19,8
1043,2022,71,3.05,8
1043,2023,71,73.26,8
1043,2024,71,6.89,8
1043,2020,149,72.88,3
1043,2021,149,88.12,3
1043,2022,149,46.76,3
1043,2023,149,50.05,3
1043,2024,149,39.43,3
1043,2023,525,74.5,44
1043,2024,525,61.69,44
1043,2024,535,32.28,3
1044,2024,28,58.34,11
1044,2022,195,355.0,4
1044,2023,195,782.0,4
1044,2024,195,566.0,4
1044,2024,479,522.0,4
1044,2022,480,34.2,89
1044,2023,480,62.61,89
1044,2024,480,38.89,89
1044,2022,535,77.64,3
1044,2023,535,64.21,3
1044,2024,535,40.0,3
1045,2020,28,65.62,11
1045,2021,28,2.57,11
1045,2022,28,2.14,11
1045,2023,28,95.03,11
1045,2024,28,68.27,11
1045,2022,48,629.0,4
1045,2023,48,830.0,4
1045,2024,48,690.0,4
1045,2023,353,81.27,3
1045,2024,353,63.15,3
1045,2020,417,9.7,8
1045,2021,417,65.72,8
1045,2022,417,45.53,8
1045,2023,417,54.18,8
1045,2024,417,1.88,8
1045,2020,479,735.0,4
1045,2021,479,924.0,4
1045,2022,479,959.0,4
1045,2023,479,207.0,4
1045,2024,479,412.0,4
1046,2022,207,276.0,4
1046,2023,207,649.0,4
1046,2024,207,316.0,4
1046,2023,425,91.9,44
1046,2024,425,56.06,44
1046,2023,525,75.41,44
1046,2024,525,54.38,44
1046,2021,535,39.8,3
1046,2022,535,59.92,3
1046,2023,535,64.0,3
1046,2024,535,2.81,3
1047,2021,219,71.62,3
1047,2022,219,61.35,3
1047,2023,219,6.89,3
1047,2024,219,26.56,3
1047,2022,479,282.0,4
1047,2023,479,501.0,4
1047,2024,479,766.0,4
1048,2021,221,95.59,3
1048,2022,221,27.5,3
1048,2023,221,13.69,3
1048,2024,221,60.94,3
1048,2020,251,93.39,11
1048,2021,251,21.9,11
1048,2022,251,96.0,11
1048,2023,251,66.41,11
1048,2024,251,51.0,11
1048,2021,353,95.06,3
1048,2022,353,9.77,3
1048,2023,353,47.72,3
1048,2024,353,62.03,3
1049,2023,364,41.99,11
1049,2024,364,69.13,11
1049,2023,370,92.15,11
1049,2024,370,48.01,11
1049,2023,471,3.0,88
1049,2024,471,6.0,88
1049,2023,480,88.76,89
1049,2024,480,93.55,89
1050,2024,222,87.86,3
1050,2022,427,67.15,3
1050,2023,427,76.69,3
1050,2024,427,4.15,3
1050,2022,471,1.0,88
1050,2023,471,9.0,88
1050,2024,471,8.0,88
1050,2023,535,18.55,3
1050,2024,535,94.78,3
1051,2023,50,17.26,3
1051,2024,50,33.31,3
1051,2021,426,37.27,11
1051,2022,426,83.89,11
1051,2023,426,7.76,11
1051,2024,426,55.29,11
1051,2021,563,88.44,11
1051,2022,563,37.18,11
1051,2023,563,56.79,11
1051,2024,563,8.67,11
1052,2023,28,43.84,11
1052,2024,28,65.47,11
1052,2022,48,521.0,4
1052,2023,48,141.0,4
1052,2024,48,659.0,4
1052,2022,425,92.22,44
1052,2023,425,71.17,44
1052,2024,425,87.92,44
1052,2022,524,83.79,11
1052,2023,524,72.61,11
1052,2024,524,21.93,11
1052,2024,525,60.46,44
1053,2020,195,920.0,4
1053,2021,195,814.0,4
1053,2022,195,708.0,4
1053,2023,195,178.0,4
1053,2024,195,796.0,4
1053,2023,353,19.43,3
1053,2024,353,86.97,3
1053,2021,477,4.0,11
1053,2022,477,40.4,11
1053,2023,477,22.4,11
1053,2024,477,9.3,11
1053,2022,479,154.0,4
1053,2023,479,935.0,4
1053,2024,479,107.0,4
1054,2021,71,5.34,8
1054,2022,71,45.42,8
1054,2023,71,26.03,8
1054,2024,71,77.84,8
1054,2024,168,49.15,11
1054,2021,251,81.74,11
1054,2022,251,6.84,11
1054,2023,251,10.23,11
1054,2024,251,27.44,11
1055,2022,327,78.58,11
1055,2023,327,27.04,11
1055,2024,327,39.71,11
1055,2024,476,37.03,3
1057,2021,6,31.62,3
1057,2022,6,99.82,3
1057,2023,6,83.66,3
1057,2024,6,44.84,3
1057,2024,48,160.0,4
1057,2020,219,53.48,3
1057,2021,219,80.38,3
1057,2022,219,74.72,3
1057,2023,219,19.21,3
1057,2024,219,57.33,3
1057,2022,220,16.3,11
1057,2023,220,39.41,11
1057,2024,220,5.29,11
1058,2020,222,20.77,3
1058,2021,222,34.31,3
1058,2022,222,4.13,3
1058,2023,222,3.25,3
1058,2024,222,88.19,3
1058,2021,251,2.29,11
1058,2022,251,82.32,11
1058,2023,251,83.21,11
1058,2024,251,55.04,11
1059,2023,195,5.0,4
1059,2024,195,122.0,4
1060,2022,327,17.83,11
1060,2023,327,73.49,11
1060,2024,327,48.67,11
1061,2023,220,48.59,11
1061,2024,220,33.47,11
1061,2023,370,7.09,11
1061,2024,370,98.53,11
1061,2023,535,7.57,3
1061,2024,535,23.36,3
1062,2024,220,54.6,11
1063,2024,425,45.76,44
1063,2024,563,38.16,11
1064,2020,40,10.71,11
1064,2021,40,62.32,11
1064,2022,40,57.68,11
1064,2023,40,34.79,11
1064,2024,40,39.1,11
1064,2020,149,0.86,3
1064,2021,149,88.2,3
1064,2022,149,3.88,3
1064,2023,149,96.25,3
1064,2024,149,5.25,3
1064,2022,219,47.94,3
1064,2023,219,15.09,3
1064,2024,219,97.71,3
1065,2021,251,59.51,11
1065,2022,251,4.89,11
1065,2023,251,91.66,11
1065,2024,251,60.45,11
1066,2022,168,3.44,11
1066,2023,168,43.83,11
1066,2024,168,87.5,11
1066,2024,195,972.0,4
1066,2023,219,7.34,3
1066,2024,219,43.58,3
1066,2024,417,93.62,8
1066,2020,563,65.37,11
1066,2021,563,35.72,11
1066,2022,563,64.36,11
1066,2023,563,25.15,11
1066,2024,563,37.34,11
1067,2022,48,994.0,4
1067,2023,48,615.0,4
1067,2024,48,682.0,4
1067,2023,50,4.91,3
1067,2024,50,68.68,3
1068,2020,71,45.63,8
1068,2021,71,50.6,8
1068,2022,71,42.9,8
1068,2023,71,81.43,8
1068,2024,71,37.75,8
