0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company ON Semiconductor integrates climate change considerations into its business strategy. They focus on reducing their carbon footprint, improving energy efficiency in their operations, and offer products that contribute to climate-related reductions. They also educate employees to live sustainably and advocate for small actions that make a difference. Additionally, they identify and assess long-term climate-related risks through their enterprise risk management program and have continuity plans in place to mitigate short-term risks from climate change and natural disasters. Their product portfolio is designed to minimize power consumption and improve energy efficiency, aligning with the global mandate for energy efficiency and reduced emissions.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company has set targets for reducing greenhouse gas emissions. They aim to reduce their energy consumption and overall carbon footprint by 5% from 2016 to 2020. They have already reduced emissions by 9,341 metric tons of CO2 equivalent through various projects in 2019. The company's targets and progress are outlined in their Corporate Social Responsibility Report on page 54.","Yes, the company has set targets for reducing greenhouse gas emissions as part of their commitment to the Sustainable Development Goals. They have deployed programs to reduce greenhouse gas emissions and actively participate in advocacy for action on climate change, as outlined in their Corporate Social Responsibility Report.","Yes, the company has set five-year targets on environmental conservation performance for its wafer fabrication facilities and assembly and test operation sites, using their 2015 performance as the baseline. They are also working to develop appropriate science-based targets for their next environmental goal cycle."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company discloses its strategy for achieving its targets through its Enterprise Risk Management (ERM) program. The ERM program aims to drive strategic capabilities that preserve and create value for the company by embedding a risk-aware decision-making culture across all functions. The framework developed systematically identifies, evaluates, prioritizes, and manages key risks and opportunities that can impact the company's ability to achieve strategic goals and objectives. The ERM discipline involves over 20 functional groups assessing risks across various categories and reporting to the board of directors each quarter using the ERM framework. Additionally, risk champions from all functional groups within the company are trained to be ERM subject matter experts and support the day-to-day administration of the program.","Yes, the company ON Semiconductor does disclose its strategy for achieving its targets related to culture and business growth. The company identified learning and innovation as culture priorities to drive them towards achieving the company strategy. They developed a culture roadmap centered around leveraging their company expertise to create goals and objectives enabling business success. Emphasizing learning and innovation is expected to bring benefits like retaining knowledge, reducing delays, providing growth opportunities, and generating innovative ideas aligning with their CSR pledge.","Yes, the company does disclose its strategy for achieving their learning and development targets. They have implemented a Leadership Pathways Model which focuses on five pillars: Leadership, Change Readiness, Communication, Diversity and Inclusion, and Business Strategy. This model allows all individuals at ON Semiconductor's global sites to access courses under each of these pillars to support their career development and skill enhancement. Additionally, they have switched to an intelligent learning platform, Percipio, which offers a full range of resources for self-directed learning, empowering employees to take ownership of their development."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, ON Semiconductor considers climate change risks and opportunities in its business planning. The company's business continuity program includes risk assessments that encompass various risks, including natural disasters like earthquakes, floods, and volcanic eruptions, which are directly related to climate change. Additionally, the company engages in proactive risk mitigation and preparation for events that cannot be prevented, indicating a comprehensive approach to addressing climate change-related risks in its business planning.","Yes, the company ON Semiconductor considers climate change risks and opportunities in its business planning. They have integrated the process of climate change into their business operations and strategy in several ways, including focusing on reducing their carbon footprint, improving energy efficiency, and offering products that contribute to climate-related reductions. They also engage in environmental conservation programs, encourage sustainability among employees, and have enterprise risk management and business continuity programs in place to address climate-related risks. Additionally, ON Semiconductor's products are designed to minimize power consumption and improve energy efficiency, aligning with global efforts for energy efficiency and reduced emissions.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company's strategic decisions are deeply connected to its core values and principles, which include being an excellent corporate citizen and focusing on environmental stewardship. This is evident in their commitment to energy efficiency, environmental sustainability, and carbon emissions reduction as outlined in their Corporate Social Responsibility Report on page 16. So, yes, the company does consider the transition to a low-carbon economy in its strategic decisions.","Yes, the company ON Semiconductor does consider the transition to a low-carbon economy in its strategic decisions. This is evident from their various recognitions and awards related to environmental, social, and governance (ESG) factors, energy efficiency, sustainability practices, and ratings from reputable agencies like Sustainalytics, MSCI ESG Ratings, and EcoVadis. Furthermore, the company has been acknowledged for its efforts in corporate social responsibility and sustainable investments, demonstrating a commitment to sustainable practices and a low-carbon economy.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company addresses financial implications and other risks and opportunities due to climate change in its Corporate Social Responsibility report under the section ""Our Planet: Climate Change"" on page 53.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, the company has initiatives in place to reduce energy consumption and carbon footprint as part of their efforts to mitigate the physical risks associated with climate change. They have specific targets to reduce emissions and have implemented projects to achieve these goals. The company also encourages environmentally friendly commuting options for employees, offers subsidies for trip reduction, and supports the use of electric vehicles with charging stations. These measures demonstrate the company's commitment to addressing climate-related risks.",,
